Fecha contable;Fecha de emisión;Tipo de comprobante;Nro. Comprobante;Cód. condición de compra;Condición de compra;Codigo Proveedor;Razón social;Nombre provincia;Cód. Artículo;Descripción;Código de concepto;Concepto;Cantidad;Precio unitario;Importe;
01/03/2022;21/02/2022;N/C;A0001000017863;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;259.975,03;-259.975,03;
01/03/2022;24/02/2022;N/C;A0000700078765;2;TRANSFERENCIA;232;ALCEMAR S A;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;25.198,02;-25.198,02;
01/03/2022;24/02/2022;N/C;A0000700078766;2;TRANSFERENCIA;232;ALCEMAR S A;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;97.525,67;-97.525,67;
01/03/2022;25/02/2022;N/C;A0000300000724;2;TRANSFERENCIA;25;ANODIZADO CALIFORNIA S.R.L. -;Capital Federal;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;6.135,37;-6.135,37;
01/03/2022;21/02/2022;NIC;A0000149581071;2;TRANSFERENCIA;3415;SENASA;Buenos Aires;114305;ANTICIPOS GASTOS COMEX;0;SIN CONCEPTO;-1,00;200,00;-200,00;
01/03/2022;16/02/2022;FAC;A0001000149317;4;CHEQUE AL DIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;115207;TRAB.DE 3ROS.PINTURA ;0;SIN CONCEPTO;1,00;316.461,52;316.461,52;
01/03/2022;16/02/2022;FAC;A0001000149318;4;CHEQUE AL DIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;115207;TRAB.DE 3ROS.PINTURA ;0;SIN CONCEPTO;1,00;4.088,32;4.088,32;
01/03/2022;16/02/2022;FAC;A0001000149319;4;CHEQUE AL DIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;115207;TRAB.DE 3ROS.PINTURA ;0;SIN CONCEPTO;1,00;10.093,04;10.093,04;
01/03/2022;16/02/2022;FAC;A0001000149384;4;CHEQUE AL DIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;115207;TRAB.DE 3ROS.PINTURA ;0;SIN CONCEPTO;1,00;13.813,20;13.813,20;
01/03/2022;28/02/2022;FAC;A0000100000268;14;CHEQUE 30 DIAS;4203;CROMADOS CAXARAVILLE - MARTIN GABRIEL;Buenos Aires;115207;TRAB.DE 3ROS.PINTURA ;0;SIN CONCEPTO;1,00;2.450,00;2.450,00;
01/03/2022;28/02/2022;FAC;A0000100000273;14;CHEQUE 30 DIAS;4203;CROMADOS CAXARAVILLE - MARTIN GABRIEL;Buenos Aires;115207;TRAB.DE 3ROS.PINTURA ;0;SIN CONCEPTO;1,00;10.368,00;10.368,00;
01/03/2022;01/03/2022;FAC;A0000200022460;14;CHEQUE 30 DIAS;2004;ANODIZADOS MONTI & CIA S.R.L. -;Buenos Aires;115207;TRAB.DE 3ROS.PINTURA ;0;SIN CONCEPTO;1.200,00;94,51;113.412,00;
01/03/2022;17/02/2022;FAC;A0000300009471;2;TRANSFERENCIA;25;ANODIZADO CALIFORNIA S.R.L. -;Capital Federal;115211;TRAB.DE 3ROS.ANODIZADO ;0;SIN CONCEPTO;1,00;156.709,44;156.709,44;
01/03/2022;25/02/2022;FAC;A0000300009484;2;TRANSFERENCIA;25;ANODIZADO CALIFORNIA S.R.L. -;Capital Federal;115211;TRAB.DE 3ROS.ANODIZADO ;0;SIN CONCEPTO;1,00;6.135,36;6.135,36;
01/03/2022;28/02/2022;FAC;A0000100000268;14;CHEQUE 30 DIAS;4203;CROMADOS CAXARAVILLE - MARTIN GABRIEL;Buenos Aires;115221;TRAB.DE 3ROS.ZINCADO ;0;SIN CONCEPTO;1,00;14.700,00;14.700,00;
01/03/2022;28/02/2022;FAC;A0000100000273;14;CHEQUE 30 DIAS;4203;CROMADOS CAXARAVILLE - MARTIN GABRIEL;Buenos Aires;115221;TRAB.DE 3ROS.ZINCADO ;0;SIN CONCEPTO;1,00;7.140,00;7.140,00;
01/03/2022;21/02/2022;FAC;C0000149581071;2;TRANSFERENCIA;3415;SENASA;Buenos Aires;116100;VIDRIO IMPORTADOS;0;SIN CONCEPTO;1,00;200,00;200,00;
01/03/2022;01/03/2022;FAC;A0000200000022;2;TRANSFERENCIA;3852;GLASSEC VIDRIOS DE SEGURANCA LTDA;Exterior;116100;VIDRIO IMPORTADOS;0;SIN CONCEPTO;1,00;25.753,86;25.753,86;
01/03/2022;01/03/2022;FAC;A0001100000022;2;TRANSFERENCIA;3852;GLASSEC VIDRIOS DE SEGURANCA LTDA;Exterior;116100;VIDRIO IMPORTADOS;0;SIN CONCEPTO;1,00;7.027.233,78;7.027.233,78;
01/03/2022;16/02/2022;FAC;A0001000149334;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;55.269,46;55.269,46;
01/03/2022;16/02/2022;FAC;A0001000149335;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;188.229,01;188.229,01;
01/03/2022;16/02/2022;FAC;A0001000149336;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;12.236,80;12.236,80;
01/03/2022;16/02/2022;FAC;A0001000149337;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;29.278,26;29.278,26;
01/03/2022;16/02/2022;FAC;A0001000149338;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;156.944,41;156.944,41;
01/03/2022;16/02/2022;FAC;A0001000149339;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;531.316,79;531.316,79;
01/03/2022;16/02/2022;FAC;A0001000149340;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;334.745,22;334.745,22;
01/03/2022;17/02/2022;FAC;A0001000149383;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;145.994,80;145.994,80;
01/03/2022;17/02/2022;FAC;A0001000149385;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;50.055,36;50.055,36;
01/03/2022;17/02/2022;FAC;A0001000149386;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;49.717,80;49.717,80;
01/03/2022;17/02/2022;FAC;A0001000149387;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;48.455,00;48.455,00;
01/03/2022;17/02/2022;FAC;A0001000149388;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;14.990,08;14.990,08;
01/03/2022;17/02/2022;FAC;A0001000149389;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;11.992,43;11.992,43;
01/03/2022;17/02/2022;FAC;A0001000149390;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;38.764,00;38.764,00;
01/03/2022;17/02/2022;FAC;A0001000149391;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;162.158,51;162.158,51;
01/03/2022;17/02/2022;FAC;A0001000149392;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;594.928,81;594.928,81;
01/03/2022;17/02/2022;FAC;A0001000149393;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;604.001,34;604.001,34;
01/03/2022;17/02/2022;FAC;A0001000149394;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;449.820,40;449.820,40;
01/03/2022;17/02/2022;FAC;A0001000149395;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;169.301,83;169.301,83;
01/03/2022;21/02/2022;FAC;A0000700230635;2;TRANSFERENCIA;232;ALCEMAR S A;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;82.593,51;82.593,51;
01/03/2022;21/02/2022;FAC;A0001000149607;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;57.876,51;57.876,51;
01/03/2022;21/02/2022;FAC;A0001000149608;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;42.674,45;42.674,45;
01/03/2022;21/02/2022;FAC;A0001000149609;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;32.464,85;32.464,85;
01/03/2022;21/02/2022;FAC;A0001000149610;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;1.207.585,56;1.207.585,56;
01/03/2022;21/02/2022;FAC;A0001000149611;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;45.362,67;45.362,67;
01/03/2022;21/02/2022;FAC;A0001000149612;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;259.975,03;259.975,03;
01/03/2022;24/02/2022;FAC;A0000700230817;2;TRANSFERENCIA;232;ALCEMAR S A;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;25.198,02;25.198,02;
01/03/2022;24/02/2022;FAC;A0000700230818;2;TRANSFERENCIA;232;ALCEMAR S A;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;97.525,67;97.525,67;
01/03/2022;01/03/2022;FAC;A0000300015683;10;CHEQUE 15 DIAS;3431;PECZAK ARGENTINA SRL -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;1,00;0,33;0,33;
01/03/2022;01/03/2022;FAC;A0000300015683;10;CHEQUE 15 DIAS;3431;PECZAK ARGENTINA SRL -;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;63,00;858,37;54.077,31;
01/03/2022;01/03/2022;FAC;A0000300019362;14;CHEQUE 30 DIAS;769;ALUMINIO BROWN S.A.;Buenos Aires;116101;ALUMINIO;0;SIN CONCEPTO;12,00;887,00;10.644,00;
01/03/2022;08/02/2022;FAC;A0000700110594;14;CHEQUE 30 DIAS;51;KALCIYAN TECNOLOGIA DEL VIDRIO S.A.;Buenos Aires;116102;VIDRIO;0;SIN CONCEPTO;1,00;150.668,70;150.668,70;
01/03/2022;25/02/2022;FAC;A0000200000034;2;TRANSFERENCIA;3862;DE MIERI DAMIAN FRANCISCO;Buenos Aires;116102;VIDRIO;0;SIN CONCEPTO;1,00;28.000,00;28.000,00;
01/03/2022;01/03/2022;FAC;A0000300033675;2;TRANSFERENCIA;4326;VANGUARD LOGISTICS SERVICE S.A;Capital Federal;116102;VIDRIO;0;SIN CONCEPTO;1,00;74.762,65;74.762,65;
01/03/2022;23/02/2022;FAC;A0000700073362;14;CHEQUE 30 DIAS;83;BESTCHEM S.A. -;Buenos Aires;116103;ACCESORIOS;0;SIN CONCEPTO;1,00;57.886,78;57.886,78;
01/03/2022;01/03/2022;FAC;A0000300122610;14;CHEQUE 30 DIAS;44;TANIT S.A. -;Buenos Aires;116103;ACCESORIOS;0;SIN CONCEPTO;1,00;143.451,64;143.451,64;
01/03/2022;18/02/2022;FAC;A0000200043783;10;CHEQUE 15 DIAS;3989;DINOX S.A.;Buenos Aires;116105;BULONERIA Y TORNILLERIA;0;SIN CONCEPTO;138,00;329,28;45.440,64;
01/03/2022;18/02/2022;FAC;A0000200043783;10;CHEQUE 15 DIAS;3989;DINOX S.A.;Buenos Aires;116105;BULONERIA Y TORNILLERIA;0;SIN CONCEPTO;467,00;357,28;166.849,76;
01/03/2022;19/02/2022;FAC;A0001200002509;1;CONTADO;84;BULONES SALERNO S.R.L. -;Buenos Aires;116105;BULONERIA Y TORNILLERIA;0;SIN CONCEPTO;1,00;520,66;520,66;
01/03/2022;01/03/2022;FAC;A0000200160741;14;CHEQUE 30 DIAS;2326;TUBULON S.A. -;Buenos Aires;116105;BULONERIA Y TORNILLERIA;0;SIN CONCEPTO;1,00;406.858,05;406.858,05;
01/03/2022;01/03/2022;FAC;A0000200160883;14;CHEQUE 30 DIAS;2326;TUBULON S.A. -;Buenos Aires;116105;BULONERIA Y TORNILLERIA;0;SIN CONCEPTO;1,00;2.652,10;2.652,10;
01/03/2022;01/03/2022;N/C;A0000200026485;14;CHEQUE 30 DIAS;2326;TUBULON S.A. -;Buenos Aires;116105;BULONERIA Y TORNILLERIA;0;SIN CONCEPTO;-1,00;2.217,00;-2.217,00;
01/03/2022;01/03/2022;FAC;A0000500010631;4;CHEQUE AL DIA;240;INCA Industria de Conglomerados y Aislantes -;Capital Federal;116114;LANA MINERAL;0;SIN CONCEPTO;1,00;67.580,00;67.580,00;
01/03/2022;01/03/2022;FAC;A0000300006666;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;603.024,00;603.024,00;
01/03/2022;01/03/2022;FAC;A0000300006738;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;675.172,00;675.172,00;
01/03/2022;01/03/2022;FAC;A0000300006768;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;42.313,00;42.313,00;
01/03/2022;01/03/2022;FAC;A0000300006815;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;49.101,00;49.101,00;
01/03/2022;01/03/2022;FAC;A0000300006835;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;48.998,34;48.998,34;
01/03/2022;01/03/2022;FAC;A0000300006840;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;236.353,00;236.353,00;
01/03/2022;01/03/2022;FAC;A0000300006858;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;82.922,35;82.922,35;
01/03/2022;01/03/2022;FAC;A0000300006859;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;923.324,00;923.324,00;
01/03/2022;01/03/2022;FAC;A0000300006872;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;114.809,40;114.809,40;
01/03/2022;01/03/2022;FAC;A0000300006875;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;127.900,00;127.900,00;
01/03/2022;01/03/2022;FAC;A0000300006889;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;586.780,00;586.780,00;
01/03/2022;01/03/2022;FAC;A0000300006890;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;1.221.070,00;1.221.070,00;
01/03/2022;01/03/2022;FAC;A0000300006896;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;39.020,00;39.020,00;
01/03/2022;01/03/2022;FAC;A0000300006899;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;1,00;109.917,00;109.917,00;
01/03/2022;01/03/2022;N/C;A0000300000940;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;-1,00;48.998,34;-48.998,34;
01/03/2022;01/03/2022;N/C;A0000300000943;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;-1,00;82.922,35;-82.922,35;
01/03/2022;01/03/2022;N/C;A0000300000946;14;CHEQUE 30 DIAS;212;PERFIGOM S.R.L. -;Buenos Aires;116115;BURLETES;0;SIN CONCEPTO;-1,00;114.809,40;-114.809,40;
01/03/2022;31/01/2022;FAC;A0000200000105;2;TRANSFERENCIA;2639;CASTELCIVITA SA;Buenos Aires;0;SIN ARTICULO;257;ALQUILER DE INMUEBLES;0,00;67.500,00;67.500,00;
01/03/2022;09/02/2022;FAC;A0000300000839;1;CONTADO;4350;SALVATIERRA CESAR LEONEL;Capital Federal;0;SIN ARTICULO;604;CONSUMIBLES;0,00;495,86;495,86;
01/03/2022;11/02/2022;FAC;A0000100002105;14;CHEQUE 30 DIAS;4357;SHC SERVICIOS DE TRANSPORTE SRL;Capital Federal;0;SIN ARTICULO;263;FLETES A OBRAS;0,00;15.000,00;15.000,00;
01/03/2022;12/02/2022;FAC;A0005002489716;2;TRANSFERENCIA;3514;AUTOPISTAS DE BUENOS AIRES S.A;Buenos Aires;0;SIN ARTICULO;245;VIATICOS FABRICA;0,00;456,20;456,20;
01/03/2022;12/02/2022;FAC;A0010606538878;2;TRANSFERENCIA;2038;AYSA S.A.;Capital Federal;0;SIN ARTICULO;275;AGUA FABRICA;0,00;23,67;23,67;
01/03/2022;12/02/2022;FAC;A0010606538878;2;TRANSFERENCIA;2038;AYSA S.A.;Capital Federal;0;SIN ARTICULO;275;AGUA FABRICA;0,00;32,82;32,82;
01/03/2022;12/02/2022;FAC;A0010606538878;2;TRANSFERENCIA;2038;AYSA S.A.;Capital Federal;0;SIN ARTICULO;275;AGUA FABRICA;0,00;3.155,99;3.155,99;
01/03/2022;17/02/2022;FAC;A0501400200729;2;TRANSFERENCIA;3513;AUTOPISTAS URBANAS S.A;Buenos Aires;0;SIN ARTICULO;245;VIATICOS FABRICA;0,00;51,03;51,03;
01/03/2022;17/02/2022;FAC;A0501400200729;2;TRANSFERENCIA;3513;AUTOPISTAS URBANAS S.A;Buenos Aires;0;SIN ARTICULO;245;VIATICOS FABRICA;0,00;514,74;514,74;
01/03/2022;18/02/2022;FAC;A0000100002115;10;CHEQUE 15 DIAS;4357;SHC SERVICIOS DE TRANSPORTE SRL;Capital Federal;0;SIN ARTICULO;263;FLETES A OBRAS;0,00;71.000,00;71.000,00;
01/03/2022;23/02/2022;FAC;A0000000000002;1;CONTADO;999910;FONDO FIJO;Buenos Aires;0;SIN ARTICULO;240;MANTENIMIENTO VEHICULOS;0,00;700,00;700,00;
01/03/2022;23/02/2022;FAC;A0000000000002;1;CONTADO;999910;FONDO FIJO;Buenos Aires;0;SIN ARTICULO;245;VIATICOS FABRICA;0,00;500,00;500,00;
01/03/2022;23/02/2022;FAC;A0000000000002;1;CONTADO;999910;FONDO FIJO;Buenos Aires;0;SIN ARTICULO;312;ATENCIONES AL PERSONAL;0,00;520,00;520,00;
01/03/2022;23/02/2022;FAC;A0000000000004;1;CONTADO;999910;FONDO FIJO;Buenos Aires;0;SIN ARTICULO;246;VIATICOS OFICINA TECNICA;0,00;520,00;520,00;
01/03/2022;23/02/2022;FAC;A0000600000180;2;TRANSFERENCIA;252;MELGON S.A.;Buenos Aires;0;SIN ARTICULO;290;MAQUINAS Y HERRAMIENTAS MENORE;0,00;9.483,48;9.483,48;
01/03/2022;23/02/2022;FAC;A0000900032651;1;CONTADO;4032;RAMON FRANCO NORTE S.R.L.;Buenos Aires;0;SIN ARTICULO;246;VIATICOS OFICINA TECNICA;0,00;377,51;377,51;
01/03/2022;23/02/2022;FAC;A0000900032651;1;CONTADO;4032;RAMON FRANCO NORTE S.R.L.;Buenos Aires;0;SIN ARTICULO;246;VIATICOS OFICINA TECNICA;0,00;1.340,87;1.340,87;
